@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric
@attribute sstandard_deviation numeric
@attribute svariance numeric
@attribute srange numeric
@attribute sskewness numeric
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric
@attribute irrk numeric
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
0.000104,0.40337,-0.40792,0.048856,0.002387,0.81129,-0.20662,45.9408,-0.000992,0.000016,0.000988,0.022868,5126.0339,55.964,-0.21039,7750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,192457.2167,44.56,48.8609,0.61518,165.8643,697.7934,104.922,0.40337,635,1270,1061,87,2.9,0.19329,-0.44499,0.067361,0.057195,0.029351,0.062897,0.091173,0.11414,0.1678,robo
-0.000023,0.005168,-0.019497,0.001459,0.000002,0.024665,-1.717,24.7926,-0.000902,-0.000031,0.000881,0,2.1231,56.5976,0.031507,22400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204356.9246,53.2033,60.2728,0.011307,1.4744,70.1649,105.2895,0.005168,678,1355,1051,80,7,0.046619,0.024099,-0.004147,-0.008129,-0.002263,-0.00435,-0.006746,-0.008601,-0.012657,robo
-0.000029,0.004772,-0.022003,0.00141,0.000002,0.026775,-2.9601,46.2587,-0.00084,-0.000013,0.000811,0,1.9453,56.495,0.04251,27500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,205672.9409,52.0566,59.3755,0.007376,1.5185,68.1572,105.3101,0.004772,687,1373,1059,78,6.8,-0.035161,0.034156,-0.005669,-0.00959,-0.003039,-0.005713,-0.008711,-0.011144,-0.016335,robo
-0.000033,0.00832,-0.025947,0.001491,0.000002,0.034267,-3.7561,63.3895,-0.000873,-0.000039,0.000819,0,2.1345,56.5488,0.047647,26800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204856.4216,50.8583,58.5198,0.009066,2.7279,69.612,105.2972,0.00832,689,1377,1059,73,6.4,-0.03283,0.03929,-0.005936,-0.010697,-0.003321,-0.006227,-0.009428,-0.01207,-0.017686,robo
-0.000044,0.008774,-0.040584,0.001777,0.000003,0.049357,-7.3686,156.4529,-0.000873,-0.000001,0.000834,0,2.5164,56.4604,0.057376,31800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,205015.3817,47.6559,55.9581,0.013284,7.2717,75.0103,105.2774,0.008774,682,1363,1068,85,4.7,-0.012734,0.053579,-0.009346,-0.014643,-0.00415,-0.007689,-0.011853,-0.015079,-0.02217,robo
-0.000054,0.01581,-0.050086,0.002477,0.000006,0.065896,-5.8481,115.3812,-0.000951,0.000006,0.000934,0,6.9744,55.469,0.067404,28100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,200572.5503,43.3323,51.4853,0.027097,18.0849,89.7055,105.2699,0.01581,668,1335,1046,87,2.8,-0.074257,0.063807,-0.014216,-0.022636,-0.006489,-0.011072,-0.017183,-0.021923,-0.032223,robo
-0.000066,0.014917,-0.05406,0.002253,0.000005,0.068977,-11.8558,276.8991,-0.000957,-0.000017,0.000868,0,4.9455,56.6539,0.089778,33600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202899.8499,42.6557,51.3415,0.015903,18.7627,84.0945,105.3069,0.014917,682,1363,1037,76,7,-0.011039,0.094446,-0.021561,-0.025558,-0.006739,-0.013799,-0.02136,-0.027167,-0.039874,robo
-0.000066,0.014704,-0.055106,0.002233,0.000005,0.06981,-12.4717,297.0356,-0.000897,-0.000011,0.000841,0,5.7866,56.8648,0.095275,32600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204529.1616,42.7151,51.5,0.016387,18.2162,82.4744,105.3078,0.014704,690,1379,1069,81,7.7,-0.085858,0.098388,-0.023485,-0.027726,-0.006546,-0.015034,-0.023241,-0.029397,-0.043236,robo
-0.000067,0.012289,-0.051826,0.002132,0.000005,0.064115,-12.4271,290.4504,-0.000856,-0.000021,0.000824,0,4.5862,56.853,0.094654,33300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,206457.2514,42.5104,51.3586,0.014784,17.7972,78.3112,105.293,0.012289,703,1405,1041,69,7.5,0.018043,0.08943,-0.019081,-0.025187,-0.006455,-0.013801,-0.021207,-0.026893,-0.039524,robo
-0.000068,0.017313,-0.051524,0.002214,0.000005,0.068837,-10.8284,251.2846,-0.000911,-0.000069,0.000816,0,5.6676,56.6287,0.10063,32600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,203851.4409,42.7679,51.5145,0.015636,17.7355,82.213,105.2975,0.017313,677,1353,1069,77,8.2,-0.037032,0.1003,-0.020446,-0.026882,-0.006925,-0.014952,-0.022884,-0.029066,-0.042689,robo
