@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}


@data
0.00012818,0.35394,-0.19704,0.011722,0.0001374,0.55098,9144.433,9.6262,404.9173,-0.0019218,9.4221e-05,0.0019981,0.00039952,278.1014,52.7083,0.0014907,-0.54837,988358.3865,1.405066303442204e+184,211304.1488,61.3428,68.4779,0.067531,33.4846,710.8402,125.1737,0.35394,620,955,1240,1242,99,0.1,-0.025575,0.28975,-0.10557,0.19448,0.17871,0.053354,0.10354,0.17356,0.23927,0.37266,robo
-9.8881e-05,0.050922,-0.2124,0.0059043,3.486e-05,0.26332,-5971.0814,-20.0866,700.8569,-0.0017235,3.2647e-05,0.0018548,0,72.0773,53.4888,0.001125,0.15345,48517981.4664,1.388760660437549e+184,217833.1334,48.7872,59.1677,0.043656,73.7496,268.657,125.2276,0.050922,644,974,1287,1260,99,0.1,0.11919,-0.22417,0.23037,-0.1082,-0.1042,-0.028714,-0.08272,-0.11469,-0.14522,-0.20871,robo
-3.2781e-05,0.014175,-0.054336,0.0031813,1.0121e-05,0.068511,-9704.805,-2.1984,38.9704,-0.0016451,-5.459e-07,0.0015937,0,13.738,54.2102,0.0015709,0.050124,72875784.064,1.19685016433091e+184,222021.4034,56.8073,65.6867,0.023784,16.5138,176.6205,125.2302,0.014175,666,1032,1331,1248,99,0.1,-0.04362,-0.067526,-0.04817,-0.029685,-0.030154,-0.0077309,-0.022646,-0.030461,-0.037849,-0.053433,robo
-5.5494e-05,0.02061,-0.098263,0.0039504,1.5606e-05,0.11887,-7118.6508,-6.8823,164.7277,-0.0016651,1.6187e-05,0.0016819,0,10.3894,54.8692,0.0016495,0.025909,545906.4526,1.38318144610592e+184,218868.6812,54.0906,63.5372,0.034151,28.5353,206.7677,125.2254,0.02061,665,1066,1329,1266,99,0.1,0.15014,-0.097346,-0.10269,-0.011649,-0.011625,-0.0026041,-0.020113,-0.02133,-0.020051,-0.020963,robo
-4.2149e-05,0.02466,-0.10269,0.0038728,1.4998e-05,0.12735,-9188.256,-7.9244,210.2348,-0.0014943,1.7503e-05,0.0014097,0,23.779,55.0807,0.0013578,0.088659,94192916.989,9.401819894714542e+183,223648.0074,55.5461,64.1468,0.027415,20.602,219.0868,125.2265,0.02466,699,1080,1397,1258,99,0.1,-0.10359,-0.2158,0.2831,-0.053286,-0.0498,-0.015559,-0.039444,-0.058188,-0.07269,-0.10605,robo
6.3398e-05,0.13627,-0.032253,0.0038338,1.4698e-05,0.16852,6047.1365,19.4485,671.6907,-0.0010928,1.1193e-06,0.0011111,0,3.5099,55.7058,0.0012357,-0.011561,38570601.7622,1.626798673443291e+184,234215.128,53.796,63.4168,0.025821,28.7887,207.9035,125.224,0.13627,727,1161,1455,1262,98,0.1,0.11321,-0.098588,-0.029119,0.0022348,-0.0019035,0.00021388,0.016812,0.012589,0.0071538,-0.0012839,robo
1.9517e-05,0.13245,-0.085907,0.0045586,2.078e-05,0.21836,23357.1679,7.8329,356.2829,-0.0012812,3.9209e-06,0.0012216,0,32.8245,55.2007,0.001371,-0.12654,11351452.4849,1.604520995966579e+184,229127.4114,64.0685,71.3021,0.029333,10.5875,299.2916,125.2227,0.13245,726,1151,1452,1266,98,0.1,0.025735,0.044784,-0.10341,0.076944,0.068236,0.021452,0.04115,0.066737,0.091192,0.14092,robo
-4.129e-05,0.022219,-0.090079,0.0033853,1.146e-05,0.1123,-8198.8407,-7.9509,214.7682,-0.0012872,-4.442e-05,0.0012717,0,20.8036,55.201,0.0015401,0.10629,991051193.36,9.088570550833695e+183,228411.4271,57.807,66.2949,0.024431,14.9767,197.1081,125.2317,0.022219,703,1135,1406,1268,98,0.1,0.030056,-0.12879,0.15279,-0.047211,-0.04841,-0.013315,-0.032048,-0.047676,-0.061506,-0.0907,robo
6.8793e-05,0.13647,-0.031126,0.0044525,1.9825e-05,0.1676,6472.3604,12.6802,376.4269,-0.0016032,1.4191e-05,0.0016033,0,5.9631,53.3512,0.0015985,-0.021141,3630152.7583,1.972579028584358e+184,221159.4961,50.5604,59.9879,0.035713,43.9208,217.101,125.2282,0.13647,633,962,1267,1285,99,0.1,-0.071951,0.12013,0.044942,0.010889,0.0036764,0.0012444,0.019918,0.016854,0.013265,0.0076403,robo
0.00014529,0.1598,-0.036115,0.0058316,3.4008e-05,0.19591,4013.7949,15.522,402.6289,-0.0015964,4.0778e-05,0.0016263,0,40.1609,54.0799,0.0014806,-0.1859,6778538.5994,1.649728219813222e+184,220293.5839,39.8138,49.7743,0.05866,127.6045,203.1088,125.2145,0.1598,654,1000,1309,1267,99,0.1,-0.056551,0.085483,-0.11094,0.086768,0.072727,0.020714,0.073486,0.09463,0.1093,0.14656,robo
