@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}


@data
0.00014081,0.30328,-0.11585,0.010123,0.00010248,0.41913,7189.2696,10.8336,361.5341,-0.0013942,2.5178e-05,0.0014163,0.00080613,247.4829,52.2986,0.0013766,-0.43622,51610295.9836,2.589596828877848e+182,217133.4934,57.6244,65.6933,0.067593,36.3302,565.8709,125.2204,0.30328,673,1081,1346,1225,98,0.1,-0.030063,0.11604,0.12448,0.17286,0.15157,0.040069,0.11785,0.16037,0.21165,0.31838,human
-4.6577e-05,0.028577,-0.052007,0.0042407,1.7983e-05,0.080584,-9104.6141,-0.87874,14.9866,-0.0022885,7.9474e-06,0.0022792,0,19.7499,99.4909,0.0021458,0.23396,3280129.2947,10000,450317.7571,83.2746,108.9432,0.061656,315.6062,333.0741,271.238,0.028577,1147,1152,2293,2648,2,0.1,-0.011412,-0.1845,0.24055,0.26261,-0.062701,-0.046982,-0.057378,-0.074979,-0.098019,-0.13546,human
1.3368e-05,0.055061,-0.039533,0.0024466,5.986e-06,0.094594,18302.5822,3.1092,142.3925,-0.001018,2.0916e-05,0.00099646,0,5.3227,54.508,0.0018681,0.018673,21733903.3445,1.316157008189384e+184,236112.9444,64.06,70.8353,0.017731,6.7707,154.9125,125.2223,0.055061,718,1077,1436,1265,98,0.1,0.042781,-0.0039973,0.08615,-0.029279,-0.02017,-0.0064453,-0.0083919,-0.016952,-0.025294,-0.041858,human
7.2196e-05,0.087019,-0.020774,0.0028865,8.3316e-06,0.10779,3998.0851,15.3731,416.3703,-0.00080283,2.4145e-05,0.00080411,0,6.493,55.1207,0.0014016,-0.082989,13317227.325,1.747749751224019e+184,244092.561,43.2139,54.0889,0.024767,57.5303,107.9917,125.2255,0.087019,724,1126,1449,1270,95,0.1,0.078011,0.049224,-0.098761,0.032333,0.029951,0.0085319,0.032383,0.039414,0.044845,0.058193,human
6.7444e-05,0.08597,-0.020345,0.0026956,7.2663e-06,0.10632,3996.7724,15.0863,450.8584,-0.00076345,1.9441e-05,0.00083597,0,13.5461,55.3213,0.0012926,-0.12907,1051369997.2439,1.199710651748946e+184,244011.9952,46.2819,56.5747,0.022154,40.6636,117.0342,125.2202,0.08597,721,1104,1443,1239,96,0.1,-0.088213,0.065534,-0.13281,0.04949,0.04514,0.013703,0.03765,0.051306,0.063243,0.089337,human
2.3763e-05,0.036515,-0.0092363,0.001949,3.7986e-06,0.045752,8201.8638,2.826,55.9108,-0.00096416,2.9397e-06,0.00098392,0,4.952,54.9275,0.0011795,-0.071098,14854782.1956,8.881043370208898e+183,238627.1922,61.2099,68.7608,0.010826,5.7841,120.8225,125.2182,0.036515,720,1127,1440,1255,94,0.2,-0.022406,-0.034742,-0.10004,0.015172,0.0197,0.0055756,0.013067,0.01996,0.025762,0.038346,human
2.9991e-05,0.062971,-0.015315,0.0021117,4.4591e-06,0.078286,7040.9326,11.5067,337.419,-0.00084841,-2.4573e-05,0.00082582,0,2.0276,54.2524,0.001542,-0.0090457,8312440.7005,1.338368813031759e+184,243239.6591,55.9978,65.0538,0.016561,12.4826,116.1483,125.2156,0.062971,700,1057,1400,1283,95,3.3,-0.044102,0.0040422,0.0060334,-0.0088148,-0.0013604,7.9189e-05,0.0064785,0.0039897,0.0010822,-0.0039333,human
4.6169e-05,0.059044,-0.013133,0.0023766,5.648e-06,0.072177,5147.507,7.5289,174.2697,-0.0009842,-2.3584e-05,0.0010367,0,9.7281,53.1459,0.0016833,-0.080107,59410573.409,1.336579047387045e+184,235896.0953,50.1207,60.2073,0.02134,26.2877,111.8897,125.2258,0.059044,676,1030,1353,1243,96,2.4,-0.025837,0.037732,0.023893,0.035137,0.029931,0.010066,0.027678,0.037314,0.045825,0.064227,human
7.1271e-06,0.027876,-0.0089798,0.0017368,3.0166e-06,0.036856,24369.4796,1.9164,33.1918,-0.00089275,-2.624e-05,0.00089361,0,3.9526,54.9672,0.001599,-0.022407,2772805.8683,8.782076227210791e+183,240478.0625,64.6942,72.278,0.012614,3.3638,107.8271,125.221,0.027876,747,1131,1494,1278,95,0.1,0.035914,0.017232,-0.12221,0.019322,0.014813,0.0042034,0.010085,0.015363,0.020054,0.030161,human
-2.8034e-05,0.01174,-0.046474,0.0018436,3.3988e-06,0.058214,-6576.2878,-7.134,174.4614,-0.00083758,-1.7608e-05,0.00083329,0,1.6704,54.3226,0.0016307,0.019176,909037.3489,1.428979990370736e+184,243356.295,54.7018,64.7592,0.016649,14.9464,91.5175,125.2207,0.01174,726,1086,1451,1240,94,2.9,0.051417,-0.041767,-0.010958,-0.0046834,-0.0052217,-0.00058031,-0.0090459,-0.0088932,-0.0084301,-0.0083946,human
-2.7563e-05,0.01883,-0.046465,0.0024001,5.7604e-06,0.065295,-8707.7554,-3.7881,74.7911,-0.00096826,-3.1689e-05,0.00098929,0,9.023,53.6708,0.0013597,0.028401,1579237.7362,1.038855986608499e+184,237335.1898,53.7003,63.0352,0.015769,20.5238,125.7248,125.2117,0.01883,725,1114,1449,1250,96,3.4,0.054262,-0.010395,-0.036301,-0.022919,-0.023032,-0.0064672,-0.020904,-0.027881,-0.034019,-0.047575,human
0.00021422,0.32884,-0.086636,0.0095367,9.0949e-05,0.41547,4451.8934,20.8653,707.5062,-0.0011275,7.1357e-05,0.0011781,0.00094073,3.7216,52.8686,0.0010711,-0.13413,3906951.2333,1.736481624622654e+156,194992.0068,53.5913,63.0025,0.049934,55.1553,401.5916,125.1903,0.32884,561,857,1122,1054,82,0.1,-0.096042,-0.14293,0.030691,-0.019928,-0.014656,-0.0036245,0.022645,-0.015741,-0.018302,-0.025224,human
7.7994e-05,0.18574,-0.12681,0.0059431,3.5321e-05,0.31255,7619.9691,10.7007,501.818,-0.00093223,6.9558e-06,0.00095176,0.9996,86.4148,53.9462,0.0012969,-0.21244,8267497.6821,1.243439839444349e+184,238977.6428,54.4372,63.0044,0.045848,37.9061,328.7132,125.2158,0.18574,715,1089,1430,1257,95,0.3,-0.076963,0.055288,-0.12782,0.098449,0.098688,0.030601,0.070718,0.10428,0.13537,0.20094,human
-2.8478e-05,0.030571,-0.028838,0.0017199,2.9581e-06,0.059409,-6039.338,0.32386,77.5082,-0.00088901,-5.8861e-05,0.00085556,1,2.6798,54.3725,0.0016636,0.12556,1222361.3603,1.17047675413815e+184,241667.4402,67.7453,74.4571,0.010177,3.9622,105.6823,125.2076,0.030571,736,1095,1472,1260,96,0.1,-0.023481,-0.017236,0.141,-0.015835,-0.014381,-0.0052956,-0.0085613,-0.014531,-0.021148,-0.033153,human
-5.6429e-05,0.02652,-0.091197,0.0028357,8.0413e-06,0.11772,-5025.28,-14.0368,457.3983,-0.00092294,-1.1628e-05,0.00085022,0.9996,4.9846,54.765,0.0016031,0.067336,16060680.869,1.381302534762497e+184,240543.2179,57.8931,66.2575,0.022127,12.9926,169.2193,125.2132,0.02652,713,1101,1426,1267,88,2.2,-0.016906,-0.030929,0.016871,0.017859,0.012943,0.0044846,-0.00014242,0.0075702,0.015855,0.03128,human
-0.00012154,0.031744,-0.13125,0.0041713,1.74e-05,0.16299,-3431.9729,-18.6938,530.909,-0.00095342,-4.5823e-06,0.00089149,0.9988,15.8817,54.6439,0.0012829,0.16508,4567805.8386,1.497090958572439e+184,240032.3194,39.6479,50.2605,0.039665,101.4422,141.0099,125.213,0.031744,708,1074,1415,1255,95,0.2,-0.008534,-0.021491,0.18017,-0.056653,-0.047833,-0.014404,-0.051836,-0.064109,-0.073192,-0.095314,human
-7.6085e-05,0.030636,-0.13112,0.0035693,1.274e-05,0.16176,-4691.2236,-21.8857,771.3106,-0.0009581,-8.5101e-08,0.00092082,0.9992,26.785,54.4723,0.0012148,0.13814,307104968.0403,1.348222944486953e+184,240131.9777,48.0704,58.8787,0.025346,49.8077,159.4265,125.2168,0.030636,738,1176,1475,1237,93,1.5,-0.049659,-0.16036,0.14382,-0.07201,-0.067608,-0.020517,-0.054619,-0.076184,-0.09499,-0.13608,human
3.6455e-06,0.049192,-0.034976,0.002028,4.1126e-06,0.084168,55629.0292,3.8582,186.7525,-0.00086807,-2.7916e-05,0.00085217,1,3.7893,54.5689,0.0018125,0.042938,1571659268.7572,1.337406396358147e+184,243033.0769,66.2148,73.2672,0.014889,4.0502,129.9063,125.2106,0.049192,744,1121,1488,1242,99,0.1,0.011046,-0.058827,0.011571,-0.018061,-0.018306,-0.0053131,-0.0069294,-0.014573,-0.021866,-0.036365,human
3.1138e-05,0.047072,-0.0097017,0.0020767,4.3129e-06,0.056774,6669.5566,8.5497,180.6641,-0.00084687,-1.0736e-05,0.0008512,1,6.1703,54.0493,0.0015705,-0.022823,7395873.9056,1.151444622255967e+184,241889.7663,49.7602,60.2731,0.022928,22.9198,95.1977,125.2117,0.047072,690,1032,1381,1241,95,0.1,-0.047309,0.069243,-0.13308,0.02494,0.025352,0.0092999,0.024974,0.032314,0.038862,0.053678,human
