@relation robocall-oneshot

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
0.00053763,0.4036,-0.093122,0.014313,0.00020486,0.49672,2662.2239,19.3813,529.7454,-0.00068188,0.00019667,0.0010247,0,272.1669,55.9984,0.001248,-0.99795,27657179.925,5.31172772962366e+183,234884.2678,35.5551,44.6102,0.13833,348.6727,417.3776,124.8219,0.4036,731,1170,1463,1246,58,8.1,-0.065364,0.36251,-0.50485,0.23813,0.22315,0.071733,0.15481,0.27929,0.31741,0.41847,human
0.00054038,0.40733,-0.095992,0.014322,0.00020513,0.50332,2650.3938,19.7129,543.6689,-0.00065688,0.00015873,0.0010188,0,284.0053,56.5397,0.0011979,-1.0008,3748764.5114,4.493594498407012e+183,237346.1149,33.9887,42.7517,0.14402,387.1082,394.962,124.7479,0.40733,769,1288,1539,1235,62,6.3,-0.0083516,0.25687,-0.52497,0.25398,0.22659,0.073455,0.15473,0.29536,0.32626,0.41809,human
0.00053981,0.40526,-0.22429,0.01749,0.0003059,0.62955,3240.0293,13.7499,357.5801,-0.00059459,0.00016406,0.0009297,0,243.9508,56.4556,0.0010787,-1.0006,5160741.9916,5.329011616790923e+183,239005.4899,43.6719,52.0978,0.11867,197.2215,733.383,124.7854,0.40526,728,1166,1457,1249,52,8.3,-0.23872,-0.14144,-0.38251,0.20194,0.22058,0.0698,0.15501,0.27987,0.31792,0.41899,human
0.00053982,0.40615,-0.23406,0.01736,0.00030138,0.64021,3215.9623,11.905,329.9078,-0.00074355,0.00021598,0.001125,0,247.4702,56.1203,0.0010684,-1.0005,1294429.5774,4.476303606270096e+183,232551.8545,41.1331,48.7472,0.12266,182.5172,707.5337,124.7576,0.40615,730,1186,1461,1229,67,5.3,0.014937,0.67671,-0.51589,0.24116,0.22674,0.074007,0.1558,0.29612,0.32743,0.41955,human
0.0005405,0.40713,-0.12468,0.016073,0.00025834,0.53182,2973.7212,13.7875,352.1786,-0.00051711,0.00017219,0.00086936,0,242.0455,56.0769,0.0010624,-1.0009,6812525.6598,3.816693515690706e+183,243223.0744,40.7724,49.4129,0.11761,213.9803,583.8232,124.7328,0.40713,756,1262,1513,1240,41,8.4,0.13762,0.611,-0.46911,0.23074,0.2361,0.077185,0.1547,0.27105,0.31416,0.41937,human
0.00053903,0.4049,-0.096683,0.01383,0.00019128,0.50158,2565.8219,21.5433,609.6151,-0.00049811,0.00018627,0.00090755,0,246.0717,56.2528,0.0011971,-0.99807,756561.1055,6.312161827971187e+183,242016.1521,33.2261,42.508,0.13781,425.1319,348.6512,124.822,0.4049,775,1274,1551,1227,46,8.3,0.079547,0.16216,-0.5231,0.24487,0.21835,0.07125,0.15553,0.2788,0.31769,0.4199,human
0.00053996,0.40557,-0.094343,0.014256,0.00020323,0.49992,2640.1971,19.8598,549.5328,-0.00047249,0.00017584,0.0008253,0,275.7124,56.4103,0.0011287,-0.99973,29898136.6838,4.480572136726449e+183,244068.7026,34.246,42.8761,0.13592,352.2667,406.4152,124.7633,0.40557,768,1256,1537,1243,42,9.5,-0.0011863,0.37378,-0.60761,0.2438,0.22601,0.07437,0.15519,0.29576,0.3269,0.41876,human
0.00054001,0.40407,-0.093952,0.013822,0.00019104,0.49802,2559.5472,21.6289,612.8251,-0.00053112,0.00017385,0.00088396,0,242.8927,56.6123,0.0011796,-1.0001,128818445.3417,3.780165913326003e+183,241053.1693,34.194,44.1579,0.13382,443.6906,341.4999,124.7035,0.40407,789,1298,1579,1267,48,9.5,-0.11615,0.22571,-0.46842,0.21917,0.23157,0.077169,0.15441,0.27031,0.31332,0.41838,human
0.00053968,0.40398,-0.094276,0.013735,0.00018866,0.49826,2545.1028,22.0243,628.7308,-0.00044608,0.00017144,0.00081169,0,237.2386,56.9632,0.0012379,-1.0013,2374693.4259,3.780734027396451e+183,247051.0399,32.5612,41.67,0.1399,433.3029,340.4195,124.7044,0.40398,776,1260,1553,1236,35,8.5,-0.010276,0.25313,-0.51299,0.22223,0.23305,0.076984,0.15447,0.27031,0.31338,0.41851,human
0.00053994,0.40409,-0.094544,0.013855,0.00019196,0.49864,2566.0312,21.4975,608.1484,-0.00059848,0.00016528,0.00091836,0,242.0667,56.9005,0.0012165,-1.0009,6694383.0462,4.471880245873626e+183,239670.3991,34.7996,44.6496,0.13033,406.0775,359.0602,124.7387,0.40409,786,1294,1573,1249,54,9.5,0.094949,0.35495,-0.45157,0.24973,0.22527,0.074352,0.15528,0.29574,0.32697,0.41902,human
